,_id,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,ED_PRXECE,ED_PRXHQECE,ED_ECENROL,ED_READING,ED_MATH,ED_HSGRAD,ED_APENR,ED_COLLEGE,ED_SCHPOV,ED_TEACHXP,ED_ATTAIN,HE_FOOD,HE_GREEN,HE_WALK,HE_VACANCY,HE_SUPRFND,HE_RSEI,HE_PM25,HE_OZONE,HE_HEAT,HE_HLTHINS,SE_EMPRAT,SE_JOBPROX,SE_POVRATE,SE_PUBLIC,SE_HOME,SE_OCC,SE_MHE,SE_SINGLE,ctfips,latitude,longitude
0,123399,48085030100,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48085,48,TX,1527,1.0306636,-13.815510999999999,20.4,198.42133,224.88747,92.036491,0.2949396972627114,36.331625958755104,48.21328,16.883710999999998,18.00138474,2.8644792000000003,0.8,3.5177661776542664,11.25541115,-13.815510999999999,4.5024581,9.256044189041091,42.48966979726028,121.66666000000001,75.35211182000002,69.92539978,20.5777607,8.21722603,4.39158249,87.05397797000002,31.50636482,60692.0,14.81481457,48085030100,33.29592,-96.3982
1,123400,48085030100,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48085,48,TX,1825,1.3439541000000002,-13.815510999999999,30.9,217.85674,250.22747999999999,94.00255600000001,0.2783727152308233,37.9466946124557,45.563862,11.974277,17.5172081,1.6651672532700001,0.8,3.5177661776542664,6.67480659,-13.815510999999999,3.7154026,9.885432328767124,40.28364739726025,107.33333999999999,78.27152252000002,71.73062134,23.70973969,10.96676731,8.55323029,82.71155548,30.83908463,63208.0,19.81242752,48085030100,33.29592,-96.3982
2,123401,48085030201,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48085,48,TX,544,2.2499022,-13.815510999999999,27.3,214.44522,231.89165,94.851669,0.3939027681092321,41.241124053889706,31.368776,37.580566,32.77153778,0.9678893,1.6,6.073365211486816,16.21338844,-13.815510999999999,6.930401799999999,9.526409032876717,42.55630862739727,123.0,83.50515747,78.56410217,14.45544529,1.94974005,0.0,85.14356995,35.36155319,97954.0,24.30278969,48085030201,33.26331,-96.53734
3,123402,48085030201,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48085,48,TX,960,2.0696642,-13.815510999999999,61.0,220.04181,246.44695,87.928993,0.2877102277237488,38.8605341611887,25.834435,19.484493,26.02212715,0.6649464423313001,1.6,6.073365211486816,2.13333321,-13.815510999999999,6.785275,10.06331835616437,40.73416109589043,106.33333999999999,79.75334167,83.949646,13.40350819,7.73463774,0.27247956,77.20253753999998,38.60880661,77847.0,19.51754379,48085030201,33.26331,-96.53734
4,123403,48085030202,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48085,48,TX,402,1.7719266,-13.815510999999999,52.9,208.50453000000002,234.87378999999999,88.675377,0.4665328676450256,39.415940693864,36.526745,8.2900496,26.90459824,0.9993696,1.1,4.923136472702026,12.01413441,-13.815510999999999,7.1244383000000004,9.546568983561642,42.94470338630136,122.0,80.42071532999998,72.78250122,14.90000057,7.11574936,2.29419708,85.96491241,40.625,95234.0,23.72881317,48085030202,33.34124,-96.64279
5,123404,48085030202,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48085,48,TX,448,1.7519056,-13.815510999999999,0.0,233.74568,262.12021,80.740799,0.5683528244820649,38.3812409370773,35.506531,8.5543556,32.07430267,1.7384650344138,1.1,4.923136472702026,9.30735874,-13.815510999999999,6.5749235,10.022044931506858,41.39352164383563,106.66666000000001,84.61538696,70.25,21.05263138,13.78107262,0.84235865,87.36461639,38.52855682,75506.0,32.57575607,48085030202,33.34124,-96.64279
6,123405,48085030203,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48085,48,TX,4917,2.2758417,-13.815510999999999,33.1,209.11746000000002,234.80208,95.491653,0.1836210963465675,35.860717398800794,37.202194,18.842405,28.45255661,1.5327953,4.8,6.522583484649657,2.3453207000000003,-13.815510999999999,5.4931564,9.458047309589048,42.78310966027399,121.66666000000001,76.22184753000002,80.16312408,16.31805801,11.90649033,6.94605255,85.52906036,34.62714005,74796.0,26.57862091,48085030203,33.34176,-96.54547
7,123406,48085030203,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48085,48,TX,6102,2.3389177000000005,-13.815510999999999,32.7,226.88499,261.4353,95.360466,0.2904432872658289,32.298951318707296,35.796127,17.161741,26.59508324,0.45359182821690003,4.8,6.522583484649657,4.85271597,-13.815510999999999,7.4041185,9.948279726027394,41.00016712328771,106.33333999999999,88.97832489,80.44309998,12.94059563,4.61343336,3.31066585,77.04008484000002,44.59608078,87360.0,23.08432198,48085030203,33.34176,-96.54547
8,123407,48085030301,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48085,48,TX,693,3.7162693,-13.815510999999999,49.3,225.14222999999998,247.72925,93.556488,0.7202098488335743,40.457236905114605,16.192232,41.308838,36.35860825,4.007339800000001,7.0,3.225757002830505,8.25335884,-13.815510999999999,7.607937299999999,9.823967016438358,42.63873201917811,123.66666000000001,88.40399170000002,82.44393158,13.39076042,4.62135935,4.91631794,94.66526794,40.49123001,82433.0,22.08121872,48085030301,33.240159999999996,-96.70621
9,123408,48085030301,2015,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48085,48,TX,2333,3.8446752999999996,-13.815510999999999,66.1,254.39812,287.34467,88.44064300000001,0.7443436709180005,40.0106886737314,9.2089748,10.716444000000001,45.32019806,1.080588350119,7.0,3.225757002830505,5.60211706,-13.815510999999999,5.853127,10.273080821917802,41.22514438356167,107.33333999999999,95.47504425,81.09214783,20.94961929,6.83453226,2.57009339,84.53270721,58.72649384,100444.0,16.13418388,48085030301,33.240159999999996,-96.70621
10,123409,48085030302,2010,1.0,19100.0,"Dallas-Fort Worth-Arlington, TX Metro Area",48085,48,TX,643,2.9344732999999996,-13.815510999999999,64.9,225.93405,256.63858,94.64518699999999,0.7373423072835747,42.993450404679,14.960033,40.735653000000006,42.38095093,0.0,9.3,6.745165228843689,0.0,-13.815510999999999,7.0185614,9.857309016438364,42.72872446027394,123.33333999999999,96.43242645,73.80952454,15.031847,0.0,7.15372944,90.10654449,72.49114227,170857.0,4.65116262,48085030302,33.24045,-96.75005
